,class_index,class_name
n02102318,219,cocker_spaniel
n02100877,213,irish_setter
n02074367,149,dugong
n02504013,385,indian_elephant
n02363005,337,beaver
n02102480,220,sussex_spaniel
n02113023,263,pembroke
n02086646,156,blenheim_spaniel
n02497673,383,madagascar_cat
n02087394,159,rhodesian_ridgeback
n02127052,287,lynx
n02116738,275,african_hunting_dog
n02488291,374,langur
n02091244,173,ibizan_hound
n02114367,269,timber_wolf
n02130308,293,cheetah
n02089973,167,english_foxhound
n02105251,226,briard
n02134418,297,sloth_bear
n02093754,182,border_terrier
n02106662,235,german_shepherd
n02444819,360,otter
n01882714,105,koala
n01871265,101,tusker
n01872401,102,echidna
n01877812,104,wallaby
n01873310,103,platypus
n01883070,106,wombat
n04086273,763,revolver
n04507155,879,umbrella
n04147183,780,schooner
n04254680,805,soccer_ball
n02672831,401,accordion
n02219486,310,ant
n02317335,327,starfish
n01968897,117,chambered_nautilus
n03452741,579,grand_piano
n03642806,620,laptop
n07745940,949,strawberry
n02690373,404,airliner
n04552348,895,warplane
n02692877,405,airship
n02782093,417,balloon
n04266014,812,space_shuttle
n03344393,554,fireboat
n03447447,576,gondola
n04273569,814,speedboat
n03662601,625,lifeboat
n02951358,472,canoe
n04612504,914,yawl
n02981792,484,catamaran
n04483307,871,trimaran
n03095699,510,container_ship
n03673027,628,liner
n03947888,724,pirate
n02687172,403,aircraft_carrier
n04347754,833,submarine
n04606251,913,wreck
n03478589,586,half_track
n04389033,847,tank
n03773504,657,missile
n02860847,450,bobsled
n03218198,537,dogsled
n02835271,444,bicycle-built-for-two
n03792782,671,mountain_bike
n03393912,565,freight_car
n03895866,705,passenger_car
n02797295,428,barrow
n04204347,791,shopping_cart
n03791053,670,motor_scooter
n03384352,561,forklift
n03272562,547,electric_locomotive
n04310018,820,steam_locomotive
n02704792,408,amphibian
n02701002,407,ambulance
n02814533,436,beach_wagon
n02930766,468,cab
n03100240,511,convertible
n03594945,609,jeep
n03670208,627,limousine
n03770679,656,minivan
n03777568,661,model_t
n04037443,751,racer
n04285008,817,sports_car
n03444034,573,go-kart
n03445924,575,golfcart
n03785016,665,moped
n04252225,803,snowplow
n03345487,555,fire_engine
n03417042,569,garbage_truck
n03930630,717,pickup
n04461696,864,tow_truck
n04467665,867,trailer_truck
n03796401,675,moving_van
n03977966,734,police_van
n04065272,757,recreational_vehicle
n04335435,829,streetcar
n04252077,802,snowmobile
n04465501,866,tractor
n03776460,660,mobile_home
n04482393,870,tricycle
n04509417,880,unicycle
n03538406,603,horse_cart
n03599486,612,jinrikisha
n03868242,690,oxcart
n02804414,431,bassinet
n03125729,516,cradle
n03131574,520,crib
n03388549,564,four-poster
n02870880,453,bookcase
n03018349,495,china_cabinet
n03742115,648,medicine_chest
n03016953,493,chiffonier
n04380533,846,table_lamp
n03337140,553,file
n03891251,703,park_bench
n02791124,423,barber_chair
n04429376,857,throne
n03376595,559,folding_chair
n04099969,765,rocking_chair
n04344873,831,studio_couch
n04447861,861,toilet_seat
n03179701,526,desk
n03982430,736,pool_table
n03201208,532,dining_table
n03290653,548,entertainment_center
n04550184,894,wardrobe
n07742313,948,granny_smith
n07747607,950,orange
n07749582,951,lemon
n07753113,952,fig
n07753275,953,pineapple
n07753592,954,banana
n07754684,955,jackfruit
n07760859,956,custard_apple
n07768694,957,pomegranate
n12267677,988,acorn
n12620546,989,hip
n13133613,998,ear
n11879895,984,rapeseed
n12144580,987,corn
n12768682,990,buckeye
n03854065,687,organ
n04515003,881,upright
n03017168,494,chime
n03249569,541,drum
n03447721,577,gong
n03720891,641,maraca
n03721384,642,marimba
n04311174,822,steel_drum
n02787622,420,banjo
n02992211,486,cello
n04536866,889,violin
n03495258,594,harp
n02676566,402,acoustic_guitar
n03272010,546,electric_guitar
n03110669,513,cornet
n03394916,566,french_horn
n04487394,875,trombone
n03494278,593,harmonica
n03840681,684,ocarina
n03884397,699,panpipe
n02804610,432,bassoon
n03838899,683,oboe
n04141076,776,sax
n03372029,558,flute
n11939491,985,daisy
n12057211,986,yellow_lady's_slipper
n09246464,972,cliff
n09468604,979,valley
n09193705,970,alp
n09472597,980,volcano
n09399592,976,promontory
n09421951,977,sandbar
n09256479,973,coral_reef
n09332890,975,lakeside
n09428293,978,seashore
n09288635,974,geyser
n03498962,596,hatchet
n03041632,499,cleaver
n03658185,623,letter_opener
n03954731,726,plane
n03995372,740,power_drill
n03649909,621,lawn_mower
n03481172,587,hammer
n03109150,512,corkscrew
n02951585,473,can_opener
n03970156,731,plunger
n04154565,784,screwdriver
n04208210,792,shovel
n03967562,730,plow
n03000684,491,chain_saw
n01514668,7,cock
n01514859,8,hen
n01518878,9,ostrich
n01530575,10,brambling
n01531178,11,goldfinch
n01532829,12,house_finch
n01534433,13,junco
n01537544,14,indigo_bunting
n01558993,15,robin
n01560419,16,bulbul
n01580077,17,jay
n01582220,18,magpie
n01592084,19,chickadee
n01601694,20,water_ouzel
n01608432,21,kite
n01614925,22,bald_eagle
n01616318,23,vulture
n01622779,24,great_grey_owl
n01795545,80,black_grouse
n01796340,81,ptarmigan
n01797886,82,ruffed_grouse
n01798484,83,prairie_chicken
n01806143,84,peacock
n01806567,85,quail
n01807496,86,partridge
n01817953,87,african_grey
n01818515,88,macaw
n01819313,89,sulphur-crested_cockatoo
n01820546,90,lorikeet
n01824575,91,coucal
n01828970,92,bee_eater
n01829413,93,hornbill
n01833805,94,hummingbird
n01843065,95,jacamar
n01843383,96,toucan
n01847000,97,drake
n01855032,98,red-breasted_merganser
n01855672,99,goose
n01860187,100,black_swan
n02002556,127,white_stork
n02002724,128,black_stork
n02006656,129,spoonbill
n02007558,130,flamingo
n02009912,132,american_egret
n02009229,131,little_blue_heron
n02011460,133,bittern
n02012849,134,crane
n02013706,135,limpkin
n02018207,137,american_coot
n02018795,138,bustard
n02025239,139,ruddy_turnstone
n02027492,140,red-backed_sandpiper
n02028035,141,redshank
n02033041,142,dowitcher
n02037110,143,oystercatcher
n02017213,136,european_gallinule
n02051845,144,pelican
n02056570,145,king_penguin
n02058221,146,albatross
n01484850,2,great_white_shark
n01491361,3,tiger_shark
n01494475,4,hammerhead
n01496331,5,electric_ray
n01498041,6,stingray
n02514041,389,barracouta
n02536864,391,coho
n01440764,0,tench
n01443537,1,goldfish
n02526121,390,eel
n02606052,392,rock_beauty
n02607072,393,anemone_fish
n02643566,396,lionfish
n02655020,397,puffer
n02640242,394,sturgeon
n02641379,395,gar
n01664065,33,loggerhead
n01665541,34,leatherback_turtle
n01667114,35,mud_turtle
n01667778,36,terrapin
n01669191,37,box_turtle
n01675722,38,banded_gecko
n01677366,39,common_iguana
n01682714,40,american_chameleon
n01685808,41,whiptail
n01687978,42,agama
n01688243,43,frilled_lizard
n01689811,44,alligator_lizard
n01692333,45,gila_monster
n01693334,46,green_lizard
n01694178,47,african_chameleon
n01695060,48,komodo_dragon
n01704323,51,triceratops
n01697457,49,african_crocodile
n01698640,50,american_alligator
n01728572,52,thunder_snake
n01728920,53,ringneck_snake
n01729322,54,hognose_snake
n01729977,55,green_snake
n01734418,56,king_snake
n01735189,57,garter_snake
n01737021,58,water_snake
n01739381,59,vine_snake
n01740131,60,night_snake
n01742172,61,boa_constrictor
n01744401,62,rock_python
n01748264,63,indian_cobra
n01749939,64,green_mamba
n01751748,65,sea_snake
n01753488,66,horned_viper
n01755581,67,diamondback
n01756291,68,sidewinder
n01629819,25,european_fire_salamander
n01630670,26,common_newt
n01631663,27,eft
n01632458,28,spotted_salamander
n01632777,29,axolotl
n01641577,30,bullfrog
n01644373,31,tree_frog
n01644900,32,tailed_frog
n04579432,902,whistle
n04592741,908,wing
n03876231,696,paintbrush
n03483316,589,hand_blower
n03868863,691,oxygen_mask
n04251144,801,snorkel
n03691459,632,loudspeaker
n03759954,650,microphone
n04152593,782,screen
n03793489,673,mouse
n03271574,545,electric_fan
n03843555,686,oil_filter
n04332243,828,strainer
n04265275,811,space_heater
n04330267,827,stove
n03467068,583,guillotine
n02794156,426,barometer
n04118776,769,rule
n03841143,685,odometer
n04141975,778,scale
n02708093,409,analog_clock
n03196217,530,digital_clock
n04548280,892,wall_clock
n03544143,604,hourglass
n04355338,835,sundial
n03891332,704,parking_meter
n04328186,826,stopwatch
n03197337,531,digital_watch
n04317175,823,stethoscope
n04376876,845,syringe
n03706229,635,magnetic_compass
n02841315,447,binoculars
n04009552,745,projector
n04356056,837,sunglasses
n03692522,633,loupe
n04044716,755,radio_telescope
n02879718,456,bow
n02950826,471,cannon
n02749479,413,assault_rifle
n04090263,764,rifle
n04008634,744,projectile
n03085013,508,computer_keyboard
n04505470,878,typewriter_keyboard
n03126707,517,crane
n03666591,626,lighter
n02666196,398,abacus
n02977058,480,cash_machine
n04238763,798,slide_rule
n03180011,527,desktop_computer
n03485407,590,hand-held_computer
n03832673,681,notebook
n06359193,916,web_site
n03496892,595,harvester
n04428191,856,thresher
n04004767,742,printer
n04243546,800,slot
n04525305,886,vending_machine
n04179913,786,sewing_machine
n03602883,613,joystick
n04372370,844,switch
n03532672,600,hook
n02974003,479,car_wheel
n03874293,694,paddlewheel
n03944341,723,pinwheel
n03992509,739,potter's_wheel
n03425413,571,gas_pump
n02966193,476,carousel
n04371774,843,swing
n04067472,758,reel
n04040759,753,radiator
n04019541,746,puck
n03492542,592,hard_disc
n04355933,836,sunglass
n03929660,714,pick
n02965783,475,car_mirror
n04258138,807,solar_dish
n04074963,761,remote_control
n03208938,535,disk_brake
n02910353,464,buckle
n03476684,584,hair_slide
n03627232,616,knot
n03075370,507,combination_lock
n03874599,695,padlock
n03804744,677,nail
n04127249,772,safety_pin
n04153751,783,screw
n03803284,676,muzzle
n04162706,785,seat_belt
n04228054,795,ski
n02948072,470,candle
n03590841,607,jack-o'-lantern
n04286575,818,spotlight
n04456115,862,torch
n03814639,678,neck_brace
n03933933,718,pier
n04485082,872,tripod
n03733131,645,maypole
n03794056,674,mousetrap
n04275548,815,spider_web
n01768244,69,trilobite
n01770081,70,harvestman
n01770393,71,scorpion
n01773157,72,black_and_gold_garden_spider
n01773549,73,barn_spider
n01773797,74,garden_spider
n01774384,75,black_widow
n01774750,76,tarantula
n01775062,77,wolf_spider
n01776313,78,tick
n01784675,79,centipede
n01990800,126,isopod
n01978287,118,dungeness_crab
n01978455,119,rock_crab
n01980166,120,fiddler_crab
n01981276,121,king_crab
n01983481,122,american_lobster
n01984695,123,spiny_lobster
n01985128,124,crayfish
n01986214,125,hermit_crab
n02165105,300,tiger_beetle
n02165456,301,ladybug
n02167151,302,ground_beetle
n02168699,303,long-horned_beetle
n02169497,304,leaf_beetle
n02172182,305,dung_beetle
n02174001,306,rhinoceros_beetle
n02177972,307,weevil
n02190166,308,fly
n02206856,309,bee
n02226429,311,grasshopper
n02229544,312,cricket
n02231487,313,walking_stick
n02233338,314,cockroach
n02236044,315,mantis
n02256656,316,cicada
n02259212,317,leafhopper
n02264363,318,lacewing
n02268443,319,dragonfly
n02268853,320,damselfly
n02276258,321,admiral
n02277742,322,ringlet
n02279972,323,monarch
n02280649,324,cabbage_butterfly
n02281406,325,sulphur_butterfly
n02281787,326,lycaenid
n01910747,107,jellyfish
n01914609,108,sea_anemone
n01917289,109,brain_coral
n01924916,110,flatworm
n01930112,111,nematode
n01943899,112,conch
n01944390,113,snail
n01945685,114,slug
n01950731,115,sea_slug
n01955084,116,chiton
n02319095,328,sea_urchin
n02321529,329,sea_cucumber
n03584829,606,iron
n03297495,550,espresso_maker
n03761084,651,microwave
n03259280,544,dutch_oven
n04111531,766,rotisserie
n04442312,859,toaster
n04542943,891,waffle_iron
n04517823,882,vacuum
n03207941,534,dishwasher
n04070727,760,refrigerator
n04554684,897,washer
n03133878,521,crock_pot
n03400231,567,frying_pan
n04596742,909,wok
n02939185,469,caldron
n03063689,505,coffeepot
n04398044,849,teapot
n04270147,813,spatula
n02699494,406,altar
n04486054,873,triumphal_arch
n03899768,706,patio
n04311004,821,steel_arch_bridge
n04366367,839,suspension_bridge
n04532670,888,viaduct
n02793495,425,barn
n03457902,580,greenhouse
n03877845,698,palace
n03781244,663,monastery
n03661043,624,library
n02727426,410,apiary
n02859443,449,boathouse
n03028079,497,church
n03788195,668,mosque
n04346328,832,stupa
n03956157,727,planetarium
n04081281,762,restaurant
n03032252,498,cinema
n03529860,598,home_theater
n03697007,634,lumbermill
n03065424,506,coil
n03837869,682,obelisk
n04458633,863,totem_pole
n02980441,483,castle
n04005630,743,prison
n03461385,582,grocery_store
n02776631,415,bakery
n02791270,424,barbershop
n02871525,454,bookshop
n02927161,467,butcher_shop
n03089624,509,confectionery
n04200800,788,shoe_shop
n04443257,860,tobacco_shop
n04462240,865,toyshop
n03388043,562,fountain
n03042490,500,cliff_dwelling
n04613696,915,yurt
n03216828,536,dock
n02892201,458,brass
n03743016,649,megalith
n02788148,421,bannister
n02894605,460,breakwater
n03160309,525,dam
n03000134,489,chainlink_fence
n03930313,716,picket_fence
n04604644,912,worm_fence
n04326547,825,stone_wall
n03459775,581,grille
n04239074,799,sliding_door
n04501370,877,turnstile
n03792972,672,mountain_tent
n04149813,781,scoreboard
n03530642,599,honeycomb
n03961711,729,plate_rack
n03903868,708,pedestal
n02814860,437,beacon
n07711569,935,mashed_potato
n07720875,945,bell_pepper
n07714571,936,head_cabbage
n07714990,937,broccoli
n07715103,938,cauliflower
n07716358,939,zucchini
n07716906,940,spaghetti_squash
n07717410,941,acorn_squash
n07717556,942,butternut_squash
n07718472,943,cucumber
n07718747,944,artichoke
n07730033,946,cardoon
n07734744,947,mushroom
n04209239,794,shower_curtain
n03594734,608,jean
n02971356,478,carton
n03485794,591,handkerchief
n04133789,774,sandal
n02747177,412,ashcan
n04125021,771,safe
n07579787,923,plate
n03814906,679,necklace
n03134739,522,croquet_ball
n03404251,568,fur_coat
n04423845,855,thimble
n03877472,697,pajama
n04120489,770,running_shoe
n03062245,503,cocktail_shaker
n03014705,492,chest
n03717622,640,manhole_cover
n03777754,662,modem
n04493381,876,tub
n04476259,868,tray
n02777292,416,balance_beam
n07693725,931,bagel
n03998194,741,prayer_rug
n03617480,614,kimono
n07590611,926,hot_pot
n04579145,901,whiskey_jug
n03623198,615,knee_pad
n07248320,921,book_jacket
n04277352,816,spindle
n04229816,796,ski_mask
n02823428,440,beer_bottle
n03127747,518,crash_helmet
n02877765,455,bottlecap
n04435653,858,tile_roof
n03724870,643,mask
n03710637,638,maillot
n03920288,712,petri_dish
n03379051,560,football_helmet
n02807133,433,bathing_cap
n04399382,850,teddy
n03527444,597,holster
n03983396,737,pop_bottle
n03924679,713,photocopier
n04532106,887,vestment
n06785654,918,crossword_puzzle
n03445777,574,golf_ball
n07613480,927,trifle
n04350905,834,suit
n04562935,900,water_tower
n03325584,552,feather_boa
n03045698,501,cloak
n07892512,966,red_wine
n03250847,542,drumstick
n04192698,787,shield
n03026506,496,christmas_stocking
n03534580,601,hoopskirt
n07565083,922,menu
n04296562,819,stage
n02869837,452,bonnet
n07871810,962,meat_loaf
n02799071,429,baseball
n03314780,551,face_powder
n04141327,777,scabbard
n04357314,838,sunscreen
n02823750,441,beer_glass
n13052670,996,hen-of-the-woods
n07583066,924,guacamole
n03637318,619,lampshade
n04599235,911,wool
n07802026,958,hay
n02883205,457,bow_tie
n03709823,636,mailbag
n04560804,899,water_jug
n02909870,463,bucket
n03207743,533,dishrag
n04263257,809,soup_bowl
n07932039,969,eggnog
n03786901,666,mortar
n04479046,869,trench_coat
n03873416,693,paddle
n02999410,488,chain
n04367480,840,swab
n03775546,659,mixing_bowl
n07875152,964,potpie
n04591713,907,wine_bottle
n04201297,789,shoji
n02916936,465,bulletproof_vest
n03240683,540,drilling_platform
n02840245,446,binder
n02963159,474,cardigan
n04370456,841,sweatshirt
n03991062,738,pot
n02843684,448,birdhouse
n03482405,588,hamper
n03942813,722,ping-pong_ball
n03908618,709,pencil_box
n03902125,707,pay-phone
n07584110,925,consomme
n02730930,411,apron
n04023962,747,punching_bag
n02769748,414,backpack
n10148035,982,groom
n02817516,439,bearskin
n03908714,710,pencil_sharpener
n02906734,462,broom
n03788365,669,mosquito_net
n02667093,399,abaya
n03787032,667,mortarboard
n03980874,735,poncho
n03141823,523,crutch
n03976467,732,polaroid_camera
n04264628,810,space_bar
n07930864,968,cup
n04039381,752,racket
n06874185,920,traffic_light
n04033901,749,quill
n04041544,754,radio
n07860988,961,dough
n03146219,524,cuirass
n03763968,652,military_uniform
n03676483,629,lipstick
n04209133,793,shower_cap
n03782006,664,monitor
n03857828,688,oscilloscope
n03775071,658,mitten
n02892767,459,brassiere
n07684084,930,french_loaf
n04522168,883,vase
n03764736,653,milk_can
n04118538,768,rugby_ball
n03887697,700,paper_towel
n13044778,995,earthstar
n03291819,549,envelope
n03770439,655,miniskirt
n03124170,515,cowboy_hat
n04487081,874,trolleybus
n03916031,711,perfume
n02808440,435,bathtub
n07697537,934,hotdog
n12985857,991,coral_fungus
n02917067,466,bullet_train
n03938244,721,pillow
n15075141,999,toilet_tissue
n02978881,481,cassette
n02966687,477,carpenter's_kit
n03633091,618,ladle
n13040303,994,stinkhorn
n03690938,631,lotion
n03476991,585,hair_spray
n02669723,400,academic_gown
n03220513,538,dome
n03127925,519,crate
n04584207,903,wig
n07880968,965,burrito
n03937543,720,pill_bottle
n03000247,490,chain_mail
n04418357,854,theater_curtain
n04590129,905,window_shade
n02795169,427,barrel
n04553703,896,washbasin
n02783161,418,ballpoint
n02802426,430,basketball
n02808304,434,bath_towel
n03124043,514,cowboy_boot
n03450230,578,gown
n04589890,904,window_screen
n12998815,992,agaric
n02992529,487,cellular_telephone
n03825788,680,nipple
n02790996,422,barbell
n03710193,637,mailbox
n03630383,617,lab_coat
n03347037,556,fire_screen
n03769881,654,minibus
n03871628,692,packet
n03733281,646,maze
n03976657,733,pole
n03535780,602,horizontal_bar
n04259630,808,sombrero
n03929855,715,pickelhaube
n04049303,756,rain_barrel
n04548362,893,wallet
n02979186,482,cassette_player
n06596364,917,comic_book
n03935335,719,piggy_bank
n06794110,919,street_sign
n02825657,442,bell_cote
n03388183,563,fountain_pen
n04591157,906,windsor_tie
n04540053,890,volleyball
n03866082,689,overskirt
n04136333,775,sarong
n04026417,748,purse
n02865351,451,bolo_tie
n02834397,443,bib
n03888257,701,parachute
n04235860,797,sleeping_bag
n04404412,851,television
n04371430,842,swimming_trunks
n03733805,647,measuring_cup
n07920052,967,espresso
n07873807,963,pizza
n02895154,461,breastplate
n04204238,790,shopping_basket
n04597913,910,wooden_spoon
n04131690,773,saltshaker
n07836838,960,chocolate_sauce
n09835506,981,ballplayer
n03443371,572,goblet
n13037406,993,gyromitra
n04336792,830,stretcher
n04557648,898,water_bottle
n03187595,528,dial_telephone
n04254120,804,soap_dispenser
n03595614,610,jersey
n04146614,779,school_bus
n03598930,611,jigsaw_puzzle
n03958227,728,plastic_bag
n04069434,759,reflex_camera
n03188531,529,diaper
n02786058,419,band_aid
n07615774,929,ice_lolly
n04525038,885,velvet
n04409515,852,tennis_ball
n03424325,570,gasmask
n03223299,539,doormat
n03680355,630,loafer
n07614500,928,ice_cream
n07695742,932,pretzel
n04033995,750,quilt
n03710721,639,maillot
n04392985,848,tape_player
n03047690,502,clog
n03584254,605,ipod
n13054560,997,bolete
n10565667,983,scuba_diver
n03950228,725,pitcher
n03729826,644,matchstick
n02837789,445,bikini
n04254777,806,sock
n02988304,485,cd_player
n03657121,622,lens_cap
n04417672,853,thatch
n04523525,884,vault
n02815834,438,beaker
n09229709,971,bubble
n07697313,933,cheeseburger
n03888605,702,parallel_bars
n03355925,557,flagpole
n03063599,504,coffee_mug
n04116512,767,rubber_eraser
n04325704,824,stole
n07831146,959,carbonara
n03255030,543,dumbbell
